Gene ID	Gene Name	Design Element	'heat-killed Escherichia coli' vs 'none' in 'normal'.foldChange	'heat-killed Escherichia coli' vs 'none' in 'normal'.pValue	'heat-killed Escherichia coli' vs 'none' in 'normal'.tStat	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.foldChange	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.pValue	'heat-killed Escherichia coli' vs 'none' in 'ulcerative colitis'.tStat	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.foldChange	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.pValue	'ulcerative colitis' vs 'normal' in 'heat-killed Escherichia coli'.tStat	'ulcerative colitis' vs 'normal' in 'none'.foldChange	'ulcerative colitis' vs 'normal' in 'none'.pValue	'ulcerative colitis' vs 'normal' in 'none'.tStat
ENSG00000000003	TSPAN6	209109_s_at	0.2	0.545176359	0.838606904				0.1	0.998683232	0.372320333	0.4	0.686800367	1.437007972
ENSG00000000005	TNMD	220065_at	0.2	0.278216419	1.44837241	0.1	0.155788384	1.584570132	-0.1	0.998683232	-0.836933153			
ENSG00000000419	DPM1	202673_at	0.3	0.050474	2.63751369	0.2	0.001664221	3.641355301	-0.1	0.998683232	-1.074565121			
ENSG00000000457	SCYL3	41329_at	1	7.30E-04	5.46363687	1.1	2.49E-10	9.057901682	0.1	0.998683232	0.526736704			
ENSG00000000460	C1orf112	220840_s_at	-0.8	0.002881936	-4.481124145	-0.9	5.58E-09	-7.957607167	0.1	0.998683232	0.416489296			
ENSG00000000938	FGR	208438_s_at				-0.1	0.029772846	-2.446279177						
ENSG00000000971	CFH	213800_at	0.7	0.114824039	2.096822926	0.2	0.457738144	0.838446266	-0.2	0.998683232	-0.430699094	0.2	0.968526686	0.378354841
ENSG00000001036	FUCA2	223120_at	-0.3	0.094462537	-2.227902267	-0.3	2.48E-06	-5.905357415	-0.1	0.998683232	-0.552932355			
ENSG00000001084	GCLC	202923_s_at	-1.5	5.29E-04	-5.707465654	-1.3	1.02E-08	-7.752516515	0.5	0.998683232	1.649360113			
ENSG00000001167	NFYA	204108_at	0.3	0.007537691	3.84107082	0.3	7.70E-07	6.294723726	0.1	0.998683232	0.904168197			
ENSG00000001460	STPG1	227694_at	0.1	0.473769268	0.982118926	0.1	0.209893135	1.400353464						
ENSG00000001461	NIPAL3	225876_at	-0.7	0.005444068	-4.055856246	-1	1.55E-12	-11.00032994	0.1	0.998683232	0.35059487			
ENSG00000001497	LAS1L	208117_s_at	-0.5	0.007105259	-3.880444603	-0.3	0.001253646	-3.748677996	0.2	0.998683232	1.452647322			
ENSG00000001561	ENPP4	204160_s_at	0.9	0.00140172	4.988974584	0.7	2.79E-04	4.296851881	-0.1	0.998683232	-0.465945754	0.1	0.937391786	0.609022558
ENSG00000001617	SEMA3F	35666_at				0.3	4.06E-05	4.968228234						
ENSG00000001626	CFTR	205043_at	0.4	0.020466318	3.212621807	0.2	0.006819681	3.087339321	-0.3	0.998683232	-2.516849264			
ENSG00000002016	RAD52	205647_at	-0.6	0.022688721	-3.148289581	-0.7	7.46E-05	-4.758832376						
ENSG00000002079	MYH16	1564072_at	0.3	0.064983611	2.474416893	0.4	5.30E-06	5.652595489	-0.1	0.998683232	-0.617044613			
ENSG00000002330	BAD	209364_at	-0.8	0.001686446	-4.853699963	-0.9	2.94E-10	-8.997598388	0.1	0.998683232	0.371294926			
ENSG00000002549	LAP3	217933_s_at	0.6	0.161818285	1.855253156	0.7	4.46E-05	4.935918066	0.2	0.998683232	1.426061953	0.1	0.985005991	0.205981021
ENSG00000002586	CD99	201029_s_at	-0.1	0.582112838	-0.769868751	-0.1	0.159076923	-1.572212704						
ENSG00000002587	HS3ST1	205465_x_at	0.1	0.490865095	0.946391098	0.2	0.012412239	2.834995114	-0.1	0.998683232	-0.947532821			
ENSG00000002726	AOC1	203559_s_at	-0.5	0.290815219	-1.412958313	-0.5	0.020527431	-2.615712795	0.2	0.998683232	0.668866848	0.2	0.901674358	0.739778525
