GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b2014	1359	6788	3977	7207	3875	1805	2495	6703	5578	7142	6285	99.93%	99.63%	99.85%	99.93%	99.71%	99.78%	99.78%	99.85%	99.85%	99.93%	652.428938127042	407.659407207144	688.103584119009	403.25711477171	165.635431026048	221.21501474401	674.389007764465	491.877213894599	650.883244311102	570.679732060696	plaP	putrescine importer, low affinity; 	K14052|1|3e-154|548|smaf:D781_1893|putrescine importer	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0015489//putrescine transmembrane transporter activity;GO:0015171//amino acid transmembrane transporter activity;GO:0015295//solute:proton symporter activity	GO:0048870//cell motility;GO:0003333//amino acid transmembrane transport;GO:0015847//putrescine transport;GO:0015992//proton transport
b1726	537	528	408	481	416	610	512	437	468	570	542	98.51%	99.63%	98.51%	98.7%	99.63%	99.63%	99.26%	98.32%	99.63%	98.32%	128.431180835864	105.839361633377	116.22232129567	109.559195191204	141.661240983079	114.883903359046	111.267382457835	104.440566445704	131.462919415692	124.546527729794	yniB	putative inner membrane protein; 	-	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	-
b2060	2163	28	47	20	37	28	48	38	35	46	39	55.06%	84.6%	48.59%	75.08%	67.87%	81.28%	76.7%	78.59%	85.85%	70.55%	1.69087830020739	3.02693205726523	1.19975406714081	2.41921793233005	1.61434742231235	2.67391886718999	2.40208182596061	1.93914004997314	2.63392870153248	2.22492159332235	wzc	colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase; 	K16692|1|0.0|1313|edj:ECDH1ME8569_1997|tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0030234//enzyme regulator activity;GO:0005524//ATP binding;GO:0004714//transmembrane receptor protein tyrosine kinase activity;GO:0004715//non-membrane spanning protein tyrosine kinase activity	GO:0009103//lipopolysaccharide biosynthetic process;GO:0045227//capsule polysaccharide biosynthetic process;GO:0016310//phosphorylation;GO:0009242//colanic acid biosynthetic process;GO:0050790//regulation of catalytic activity
b3410	237	117	121	127	125	121	83	85	90	124	104	99.58%	99.16%	99.58%	98.31%	98.31%	96.62%	94.09%	97.47%	99.58%	96.2%	64.4834632778457	71.1210825768586	69.5303042189129	74.591863206037	63.6696579882239	42.1981346965324	49.0378363437696	45.5084259829138	64.8001545492047	54.1491466256679	feoC	putative DNA-binding transcriptional regulator; 	K07490|1|3e-38|160|sdz:Asd1617_04844|ferrous iron transport protein C	-	GO:0003677//DNA binding;GO:0051536//iron-sulfur cluster binding;GO:0005506//iron ion binding	-
b4300	783	97	119	62	88	148	152	106	96	90	129	96.3%	98.47%	92.85%	96.68%	99.11%	96.68%	99.36%	96.81%	96.81%	97.19%	16.1815757637663	21.1712516166381	10.2742157680706	15.8946400922105	23.5719464614266	23.3908138963191	18.509932005532	14.6928864476125	14.235851527773	20.3298685994025	sgcR	putative DNA-binding transcriptional regulator; 	K02444|1|5e-28|128|pjd:Pjdr2_0540|DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor;K06608|2|2e-27|126|pta:HPL003_12880|DeoR family transcriptional regulator, myo-inositol catabolism operon repressor	GO:0005622//intracellular	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding	GO:0006355//regulation of transcription, DNA-templated
b0277	627	209	185	161	201	277	264	186	221	184	223	96.49%	99.04%	98.72%	98.88%	98.88%	97.29%	98.56%	98.72%	99.36%	96.97%	43.5401162303403	41.1022429459761	33.3178592985101	45.3375768745899	55.094433380375	50.7340921906312	40.5607637059021	42.2398516340081	36.3456955752138	43.8878135859584	yagK	CP4-6 prophage; conserved protein; 	-	-	-	-
b1822	810	503	465	524	423	469	360	432	422	572	567	99.63%	99.38%	99.38%	99.01%	99.26%	99.51%	99.63%	99.63%	99.88%	99.88%	81.1136239402265	79.9704000141078	83.9392380707529	73.8558901557374	72.2076675274467	53.5526528678885	72.9221472217938	62.4345640089869	87.4608537565551	86.3783021653683	rlmA	23S rRNA m(1)G745 methyltransferase, SAM-dependent; 	K00563|1|3e-157|557|sdy:SDY_1968|23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	-	GO:0052911;GO:0008270//zinc ion binding	GO:0070475//rRNA base methylation
b3595	945	92	93	51	69	83	92	70	62	80	79	90.37%	94.71%	88.47%	78.52%	97.14%	96.08%	99.47%	85.29%	89.21%	96.61%	12.7164783910835	13.7092114309899	7.00256457187851	10.3263554625043	10.953219137578	11.7305811043946	10.1280760030269	7.86244340262124	10.4848176331535	10.3157760711475	rhsJ	-	K11907|1|2e-19|100|sega:SPUCDC_2672|type VI secretion system protein VasG;K11904|3|2e-19|99.8|amim:MIM_c33390|type VI secretion system secreted protein VgrG	-	-	-
b1852	1476	2480	2534	2280	2138	3034	2653	2468	2169	2872	2891	99.86%	99.8%	99.8%	99.86%	99.86%	99.86%	99.8%	99.86%	99.86%	99.8%	219.470504575699	239.156168728264	200.432084948316	204.857152507741	256.344917768015	216.578030576994	228.622788800034	176.104659001768	240.990976025439	241.695384785211	zwf	glucose-6-phosphate 1-dehydrogenase; 	K00036|1|0.0|994|sdz:Asd1617_01469|glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	-	GO:0050661//NADP binding;GO:0004345//glucose-6-phosphate dehydrogenase activity	GO:0009372//quorum sensing;GO:0006098//pentose-phosphate shunt
b4333	861	83	75	48	56	61	67	53	72	85	61	98.95%	98.49%	99.19%	97.56%	96.75%	98.61%	96.28%	98.84%	95.35%	97.68%	12.5917409307256	12.1344318330949	7.23363915602946	9.19845025292007	8.83531781741156	9.37637911711288	8.41653702690564	10.0213676728925	12.2269595874427	8.74245301491201	yjiK	SdiA-regulated family putative membrane-anchored protein; putative phytase-like esterase; 	K07004|1|1e-10|70.9|syq:SYNPCCP_0379|uncharacterized protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	-
